type,title,director,cast,country,rating,listed_in,release_year,day,month,year,kcluster
movie,jaws,steven spielberg,"roy scheider, robert shaw, richard dreyfuss, lorraine gary, murray hamilton, carl gottlieb, jeffrey kramer, susan backlinie, jonathan filley, ted grossman",united states,pg,"action & adventure, classic movies, dramas",1975,16,9,2021,0
movie,jaws 2,jeannot szwarc,"roy scheider, lorraine gary, murray hamilton, joseph mascolo, jeffrey kramer, collin wilcox paxton, ann dusenberry, mark gruner, barry coe, susan french",united states,pg,"dramas, horror movies, thrillers",1978,16,9,2021,0
movie,jaws 3,joe alves,"dennis quaid, bess armstrong, simon maccorkindale, louis gossett jr., john putch, lea thompson, p.h. moriarty, dan blasko, liz morris, lisa maurer",united states,pg,"action & adventure, horror movies, thrillers",1983,16,9,2021,0
movie,jaws: the revenge,joseph sargent,"lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield",united states,pg-13,"action & adventure, horror movies, thrillers",1987,16,9,2021,0
movie,safe house,daniel espinosa,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, rubén blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman","south africa, united states, japan",r,action & adventure,2012,16,9,2021,3
movie,training day,antoine fuqua,"denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes",united states,r,"dramas, thrillers",2001,16,9,2021,1
tv show,castle and castle,"mo abudu, heidi uys","richard mofe-damijo, dakore akande, bimbo manuel, blossom chukwujekwu, deyemi okanlawon, etim effiong, denola grey, duke akintola, eku edewor, ade laoye, anee icha, kevin ushi, jude chukwuka, amanda afolabi",nigeria,tv-ma,"international tv shows, tv dramas",2021,15,9,2021,3
movie,inuyasha the movie 2: the castle beyond the looking glass,toshiya shinohara,"kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami",japan,tv-14,"action & adventure, anime features, international movies",2002,15,9,2021,1
movie,inuyasha the movie 3: swords of an honorable ruler,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",japan,tv-14,"action & adventure, anime features, international movies",2003,15,9,2021,1
movie,inuyasha the movie 4: fire on the mystic island,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna",japan,tv-pg,"action & adventure, anime features, international movies",2004,15,9,2021,3
movie,inuyasha the movie: affections touching across time,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki",japan,tv-pg,"action & adventure, anime features, international movies",2001,15,9,2021,1
movie,naruto shippuden the movie: blood prison,masahiko murata,"junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki",japan,tv-14,"action & adventure, anime features, international movies",2011,15,9,2021,3
movie,naruto shippûden the movie: bonds,hajime kamegaki,"junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada",japan,tv-pg,"action & adventure, anime features, international movies",2008,15,9,2021,3
movie,naruto shippûden the movie: the will of fire,masahiko murata,"junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura",japan,tv-pg,"action & adventure, anime features, international movies",2009,15,9,2021,3
movie,naruto shippuden: the movie,hajime kamegaki,"junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato",japan,tv-pg,"action & adventure, anime features, international movies",2007,15,9,2021,3
movie,naruto shippuden: the movie: the lost tower,masahiko murata,"junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa",japan,tv-14,"action & adventure, anime features, international movies",2010,15,9,2021,3
movie,naruto the movie 2: legend of the stone of gelel,hirotsugu kawasaki,"junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda",japan,tv-pg,"action & adventure, anime features, international movies",2005,15,9,2021,3
movie,naruto the movie 3: guardians of the crescent moon kingdom,toshiyuki tsuru,"junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa",japan,tv-pg,"action & adventure, anime features, international movies",2006,15,9,2021,3
movie,naruto the movie: ninja clash in the land of snow,tensai okamura,"junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa",japan,tv-pg,"action & adventure, anime features, international movies",2004,15,9,2021,3
tv show,numberblocks,joe elliot,"beth chalmers, david holt, marcel mccalla, teresa gallagher",united kingdom,tv-y,kids' tv,2021,15,9,2021,3
tv show,saved by the bell,sam bobrick,"mark-paul gosselaar, tiffani thiessen, mario lopez, lark voorhies, elizabeth berkley, dustin diamond, dennis haskins",united states,tv-pg,"kids' tv, tv comedies",1994,15,9,2021,1
tv show,jack whitehall: travels with my father,jack whitehall,"jack whitehall, michael whitehall",united kingdom,tv-ma,"british tv shows, docuseries, international tv shows",2021,14,9,2021,3
movie,king of boys,kemi adetiba,"sola sobowale, adesua etomi, remilekun ""reminisce"" safaru, tobechukwu ""illbliss"" ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja",nigeria,tv-ma,"dramas, international movies",2018,14,9,2021,3
movie,kate,cedric nicolas-troyan,"mary elizabeth winstead, jun kunimura, woody harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau",united states,r,action & adventure,2021,10,9,2021,3
movie,omo ghetto: the saga,"jjc skillz, funke akindele","funke akindele, ayo makun, chioma chukwuka akpotha, yemi eberechi alade, blossom chukwujekwu, deyemi okanlawon, alexx ekubo, zubby michael, tina mba, femi jacobs",nigeria,tv-ma,"action & adventure, comedies, dramas",2020,10,9,2021,3
movie,paradise hills,alice waddington,"emma roberts, danielle macdonald, awkwafina, eiza gonzález, milla jovovich, jeremy irvine, arnaud valois, daniel horvath","spain, united states",tv-ma,"sci-fi & fantasy, thrillers",2019,9,9,2021,3
movie,the women and the murderer,"mona achache, patricia tourancheau",the women and the murderer,france,tv-14,"documentaries, international movies",2021,9,9,2021,3
movie,show dogs,raja gosnell,"will arnett, ludacris, natasha lyonne, stanley tucci, jordin sparks, gabriel iglesias, shaquille o'neal, omar chaparro, alan cumming, andy beckwith, delia sheppard, kerry shale","united kingdom, united states",pg,"children & family movies, comedies",2018,8,9,2021,2
movie,if i leave here tomorrow: a film about lynyrd skynyrd,stephen kijak,"ronnie van zandt, gary rossington, allen collins, leon wilkeson, bob burns, billy powell, ed king, artimus pyle, steve gaines, johnny van zant",united states,tv-ma,"documentaries, music & musicals",2018,7,9,2021,2
tv show,kid cosmic,craig mccracken,"jack fisher, tom kenny, amanda c. miller, kim yarbrough, keith ferguson, grey griffin, lily rose silver",united states,tv-y7,"kids' tv, tv comedies, tv sci-fi & fantasy",2021,7,9,2021,2
tv show,octonauts: above & beyond,patrice bérubé,"antonio aakeel, chipo chung, simon foster, teresa gallagher, simon greenall, kate harbour, paul panting, rob rackstraw, william vanderpuye, helen walsh, keith wickham, andres williams, jo wyatt",united kingdom,tv-y,"british tv shows, kids' tv",2021,7,9,2021,2
movie,untold: breaking point,"chapman way, maclain way",untold: breaking point,united states,tv-ma,"documentaries, sports movies",2021,7,9,2021,2
tv show,tayo the little bus,kim min-sung,"robyn slade, kami desilets",south korea,tv-y,"kids' tv, korean tv shows",2016,6,9,2021,2
movie,angamaly diaries,lijo jose pellissery,"antony varghese, reshma rajan, binny rinky benjamin, vineeth vishwam, kichu tellus, sreekanth dasan, sarath kumar, tito wilson, anandhu, bitto davis, sinoj varghese",india,tv-14,"action & adventure, comedies, dramas",2017,5,9,2021,2
tv show,bunk'd,pamela eells o'connell,"peyton list, karan brar, skai jackson, miranda may, kevin g. quinn, nathan arenas, nina lu",united states,tv-g,"kids' tv, tv comedies",2021,5,9,2021,2
movie,a champion heart,david de vos,"mandy grace, david de vos, donna rusch, devan key, isabella mancuso, ariana guido",united states,g,"children & family movies, dramas",2018,4,9,2021,2
tv show,dive club,steve jaggi,"aubri ibrag, sana'a shaik, miah madden, mercy cornwall, georgia-may davis, ryan harrison, josh heuston, alexander grant",australia,tv-g,"kids' tv, tv dramas, teen tv shows",2021,3,9,2021,2
tv show,la casa de papel,álex pina,"úrsula corberó, itziar ituño, álvaro morte, paco tous, enrique arce, pedro alonso, maría pedraza, alba flores, miguel herrán, jaime lorente, esther acebo, darko peric, kiti mánver",spain,tv-ma,"crime tv shows, international tv shows, spanish-language tv shows",2021,3,9,2021,2
tv show,sharkdog,jacinth tan yi ting,"liam mitchell, dee bradley baker, grey griffin, josh mcdermitt, kari wahlgren, judy alice lee, ali mawji","united states, singapore",tv-y,kids' tv,2021,3,9,2021,2
movie,anjaam,rahul rawail,"madhuri dixit, shah rukh khan, tinnu anand, johny lever, kalpana iyer, himani shivpuri, sudha chandran, beena, kiran kumar",india,tv-14,"dramas, international movies, thrillers",1994,2,9,2021,1
movie,bright star,jane campion,"abbie cornish, ben whishaw, paul schneider, kerry fox, edie martin, thomas brodie-sangster, claudie blakley, gerard monaco, antonia campbell-hughes, samuel roukin","united kingdom, australia, france",pg,"dramas, romantic movies",2009,2,9,2021,2
movie,dhanak,nagesh kukunoor,"krrish chhabria, hetal gada, vipin sharma, gulfam khan, suresh menon, vijay maurya, rajiv lakshman, ninad kamat",india,tv-pg,"comedies, dramas, independent movies",2015,2,9,2021,2
movie,final account,luke holland,final account,"united kingdom, united states",pg-13,documentaries,2021,2,9,2021,2
movie,gurgaon,shanker raman,"akshay oberoi, pankaj tripathi, ragini khanna, aamir bashir, shalini vatsa, ashish verma",india,tv-14,"dramas, international movies, thrillers",2017,2,9,2021,2
movie,in the cut,jane campion,"meg ryan, mark ruffalo, jennifer jason leigh, nick damici, sharrieff pugh, kevin bacon, yaani king mondschein, heather litteer","united kingdom, australia, france, united states",r,thrillers,2003,2,9,2021,1
tv show,q-force,gabe liedman,"sean hayes, wanda sykes, laurie metcalf, david harbour, gary cole, patti harrison, matt rogers",united states,tv-ma,"crime tv shows, tv action & adventure, tv comedies",2021,2,9,2021,2
movie,shikara,vidhu vinod chopra,"aadil khan, sadia khateeb, zain khan durrani, priyanshu chatterjee, bhavna chauhan, ashwin dhar, farid azad khan, saghar sehrai",india,tv-14,"dramas, international movies, romantic movies",2020,2,9,2021,2
movie,a cinderella story,mark rosman,"hilary duff, chad michael murray, jennifer coolidge, dan byrd, regina king, julie gonzalo, lin shaye, madeline zima, andrea avery, mary pat gleason, paul rodriguez, whip hubley, kevin kilner, erica hubbard, simon helberg","united states, canada",pg,"children & family movies, comedies",2004,1,9,2021,1
movie,an unfinished life,lasse hallström,"robert redford, jennifer lopez, morgan freeman, josh lucas, damian lewis, camryn manheim, becca gardner, lynda boyd, rob hayter, p. lynn johnson","germany, united states",pg-13,dramas,2005,1,9,2021,1
movie,blade runner: the final cut,ridley scott,"harrison ford, rutger hauer, sean young, edward james olmos, m. emmet walsh, daryl hannah, william sanderson, brion james, joe turkel, joanna cassidy, james hong, morgan paull",united states,r,"action & adventure, classic movies, cult movies",1982,1,9,2021,0
movie,chappie,neill blomkamp,"sharlto copley, hugh jackman, sigourney weaver, dev patel, ninja, yo-landi visser, jose pablo cantillo, brandon auret, johnny selema, maurice carpede","south africa, united states",r,"action & adventure, sci-fi & fantasy",2015,1,9,2021,2
movie,clear and present danger,phillip noyce,"harrison ford, willem dafoe, anne archer, joaquim de almeida, henry czerny, harris yulin, donald moffat, miguel sandoval, benjamin bratt, dean jones, thora birch, james earl jones, raymond cruz","united states, mexico",pg-13,"action & adventure, dramas",1994,1,9,2021,1
movie,cliffhanger,renny harlin,"sylvester stallone, john lithgow, michael rooker, janine turner, rex linn, caroline goodall, leon, craig fairbrass, ralph waite, max perlich, paul winfield","united states, italy, france, japan",r,action & adventure,1993,1,9,2021,1
movie,cold mountain,anthony minghella,"jude law, nicole kidman, renée zellweger, eileen atkins, brendan gleeson, philip seymour hoffman, natalie portman, giovanni ribisi, donald sutherland, ray winstone","united states, italy, romania, united kingdom",r,"dramas, romantic movies",2003,1,9,2021,1
movie,crocodile dundee in los angeles,simon wincer,"paul hogan, linda kozlowski, jere burns, jonathan banks, aida turturro, alec wilson, gerry skilton, steve rackman, serge cockburn, paul rodriguez, mark adair-rios, tiriel mora, grant piro, mike tyson","australia, united states",pg,"action & adventure, comedies",2001,1,9,2021,1
movie,dear john,lasse hallström,"channing tatum, amanda seyfried, richard jenkins, henry thomas, d.j. cotrona, cullen moss, gavin mcculley, jose lucena jr., keith robinson, scott porter",united states,pg-13,"dramas, romantic movies",2010,1,9,2021,2
movie,do the right thing,spike lee,"danny aiello, ossie davis, ruby dee, richard edson, giancarlo esposito, spike lee, bill nunn, john turturro, paul benjamin, frankie faison, samuel l. jackson, rosie perez, martin lawrence, miguel sandoval",united states,r,"classic movies, comedies, dramas",1989,1,9,2021,1
movie,"el patrón, radiografía de un crimen",sebastián schindel,"joaquín furriel, luis ziembrowski, guillermo pfening, mónica lairana, germán de silva, victoria raposo, andrea garrote","argentina, venezuela",tv-ma,"dramas, international movies, thrillers",2014,1,9,2021,2
movie,extraction,steven c. miller,"bruce willis, kellan lutz, gina carano, d.b. sweeney, joshua mikel, steve coulter, dan bilzerian, heather johansen","united states, united kingdom, canada",r,action & adventure,2015,1,9,2021,2
movie,freedom writers,richard lagravenese,"hilary swank, patrick dempsey, scott glenn, imelda staunton, april l. hernandez, mario, kristin herrera, jaclyn ngan, sergio montalvo, jason finn, deance wyatt, vanetta smith","germany, united states",pg-13,dramas,2007,1,9,2021,1
movie,green lantern,martin campbell,"ryan reynolds, blake lively, peter sarsgaard, mark strong, tim robbins, jay o. sanders, taika waititi, angela bassett",united states,pg-13,"action & adventure, sci-fi & fantasy",2011,1,9,2021,2
movie,house party,reginald hudlin,"christopher reid, christopher martin, robin harris, tisha campbell, a.j. johnson, martin lawrence, paul anthony, bowlegged lou, b-fine, edith fields, kelly jo minter, clifton powell, verda bridges",united states,r,"comedies, cult movies",1990,1,9,2021,1
movie,house party 2,"george jackson, doug mchenry","christopher reid, christopher martin, martin lawrence, bowlegged lou, paul anthony, b-fine, tisha campbell, kamron, iman, queen latifah",united states,r,"comedies, cult movies, music & musicals",1991,1,9,2021,1
movie,house party 3,eric meza,"christopher reid, christopher martin, tisha campbell, david edwards, angela means, ketty lester, bernie mac, michael colyar, chris tucker, khandi alexander",united states,r,"comedies, music & musicals",1994,1,9,2021,1
movie,i got the hook up,michael martin,"master p, anthony johnson, gretchen palmer, frantz turner, richard keats, joe estevez, william knight, anthony boswell, tommy 'tiny' lister, helen martin, john witherspoon, mia x",united states,r,"action & adventure, comedies",1998,1,9,2021,1
movie,in too deep,michael rymer,"omar epps, ll cool j, nia long, stanley tucci, pam grier, hill harper, jake weber, david patrick kelly, veronica webb, ron canada, robert lasardo, gano grills, ivonne coll, don harvey, mya, nasir 'nas' jones, jermaine dupri",united states,r,thrillers,1999,1,9,2021,1
movie,initial d,"andrew lau wai-keung, alan mak","jay chou, anne suzuki, edison chen, anthony wong chau-sang, shawn yue, chapman to, jordan chan, kenny bee","china, hong kong",tv-14,"action & adventure, international movies",2005,1,9,2021,1
movie,janoskians: untold and untrue,brett weiner,"jai brooks, luke brooks, james yammouni, daniel sahyounie, beau brooks",united states,tv-ma,comedies,2016,1,9,2021,2
tv show,kid-e-cats,dmitry vysotsky,"lori gardner, kate bristol, billy bob thompson, marc thompson, erica schroeder",russia,tv-y,kids' tv,2016,1,9,2021,2
movie,labyrinth,jim henson,"david bowie, jennifer connelly, frank oz, kevin clash, anthony asbury, dave goelz, brian henson, ron mueck, karen prell, shari weiser","united kingdom, united states",pg,"action & adventure, children & family movies, cult movies",1986,1,9,2021,1
movie,letters to juliet,gary winick,"amanda seyfried, christopher egan, gael garcía bernal, vanessa redgrave, franco nero, luisa ranieri, marina massironi, milena vukotic, marcia debonis, luisa de santis, lidia biondi, giordano formenti, chris egan",united states,pg,"comedies, dramas, romantic movies",2010,1,9,2021,2
movie,level 16,danishka esterhazy,"katie douglas, celina martin, peter outerbridge, sara canning, alexis whelan, amalia williamson, josette halpert, kiana madeira",canada,tv-14,"sci-fi & fantasy, thrillers",2018,1,9,2021,2
movie,love don't cost a thing,troy byer,"nick cannon, christina milian, kenan thompson, kal penn, steve harvey, al thompson, ashley monique clark, elimu nelson, nichole robinson, melissa schuman",united states,pg-13,"comedies, romantic movies",2003,1,9,2021,1
movie,love in a puff,pang ho-cheung,"miriam chin wah yeung, shawn yue, singh hartihan bitto, isabel chan, cheung tat-ming, matt chow, chui tien-you, queenie chu, charmaine fong, vincent kok",hong kong,tv-ma,"comedies, dramas, international movies",2010,1,9,2021,2
tv show,major dad,john g. stephensrichard c. okie,"gerald mcraney, shanna reed, nicole dubuc, chelsea hertford, marisa ryan, matt mulhern, beverly archer, jon cypher",united states,tv-pg,tv comedies,1992,1,9,2021,1
movie,mars attacks!,tim burton,"jack nicholson, glenn close, annette bening, pierce brosnan, danny devito, martin short, sarah jessica parker, michael j. fox, rod steiger, tom jones, lukas haas, natalie portman",united states,pg-13,"comedies, cult movies, sci-fi & fantasy",1996,1,9,2021,1
movie,marshall,reginald hudlin,"chadwick boseman, josh gad, kate hudson, sterling k. brown, dan stevens, james cromwell, keesha sharp, roger guenveur smith, derrick baskin, barrett doss","united states, china, hong kong",pg-13,dramas,2017,1,9,2021,2
movie,my boss's daughter,david zucker,"ashton kutcher, tara reid, jeffrey tambor, andy richter, michael madsen, jon abrahams, david koechner, carmen electra, kenan thompson, terence stamp, molly shannon",united states,r,"comedies, romantic movies",2003,1,9,2021,1
movie,mystery men,kinka usher,"ben stiller, hank azaria, william h. macy, janeane garofalo, kel mitchell, paul reubens, wes studi, greg kinnear, geoffrey rush, lena olin, eddie izzard, artie lange, pras, claire forlani, tom waits",united states,pg-13,"action & adventure, comedies",1999,1,9,2021,1
movie,once upon a time in america,sergio leone,"robert de niro, james woods, elizabeth mcgovern, treat williams, tuesday weld, burt young, joe pesci, danny aiello, william forsythe, james hayden","italy, united states",r,"classic movies, dramas",1984,1,9,2021,0
movie,open season 2,"matthew o'callaghan, todd wilderman","joel mchale, mike epps, jane krakowski, billy connolly, crispin glover, steve schirripa, georgia engel, diedrich bader, cody cameron, fred stoller, olivia hack","united states, canada",pg,"children & family movies, comedies",2008,1,9,2021,1
movie,osmosis jones,"bobby farrelly, peter farrelly","chris rock, laurence fishburne, david hyde pierce, brandy norwood, william shatner, ron howard, kid rock, ben stein",united states,pg,"action & adventure, children & family movies, comedies",2001,1,9,2021,1
movie,poseidon,wolfgang petersen,"josh lucas, kurt russell, jacinda barrett, richard dreyfuss, emmy rossum, mía maestro, mike vogel, kevin dillon, freddy rodríguez",united states,pg-13,"action & adventure, dramas",2006,1,9,2021,1
movie,rhyme & reason,peter spirer,"too $hort, b-real, kurtis blow, da brat, grandmaster caz, sean ""p. diddy"" combs, chuck d., desiree densiti, dr. dre, e-40, mc eiht, heavy d, lauryn hill, ice-t, wyclef jean, ras kass, krs-one, l.v., mack 10, craig mack, method man, keith murray, nasir 'nas' jones, the notorious b.i.g., master p, q-tip, raekwon, redman, senen reyes, busta rhymes, rza, dj scratch, erick sermon, tupac shakur, adario strange, suave",united states,r,"documentaries, music & musicals",1997,1,9,2021,1
movie,same kind of different as me,michael carney,"greg kinnear, renée zellweger, djimon hounsou, jon voight, olivia holt",united states,pg-13,"dramas, faith & spirituality",2017,1,9,2021,2
movie,school of rock,richard linklater,"jack black, joan cusack, mike white, sarah silverman, lee wilkof, kate mcgregor-stewart, adam pascal, suzzanne douglas, miranda cosgrove, kevin alexander clark, joey gaydos jr., robert tsai, veronica afflerbach, jordan-claire green","united states, germany",pg-13,"comedies, music & musicals",2003,1,9,2021,1
movie,snervous tyler oakley,amy rice,tyler oakley,united states,pg-13,"documentaries, lgbtq movies",2015,1,9,2021,2
movie,tears of the sun,antoine fuqua,"bruce willis, monica bellucci, cole hauser, eamonn walker, johnny messner, nick chinlund, charles ingram, paul francis, chad smith, tom skerritt, malick bowens, awaovieyi agie",united states,r,"action & adventure, dramas",2003,1,9,2021,1
movie,the blue lagoon,randal kleiser,"brooke shields, christopher atkins, leo mckern, william daniels, elva josephson, glenn kohan, alan hopgood, gus mercurio",united states,r,"dramas, romantic movies",1980,1,9,2021,0
movie,the golden child,michael ritchie,"eddie murphy, j.l. reate, charles dance, charlotte lewis, victor wong, randall tex cobb, james hong, shakti chen, tau logo, tiger chung lee",united states,pg-13,"action & adventure, comedies",1986,1,9,2021,1
movie,the guns of navarone,j. lee thompson,"gregory peck, david niven, anthony quinn, stanley baker, anthony quayle, james darren, irene papas, gia scala, james robertson justice, richard harris","united kingdom, united states",tv-14,"action & adventure, classic movies",1961,1,9,2021,0
movie,the interview,"evan goldberg, seth rogen","james franco, seth rogen, lizzy caplan, randall park, diana bang, timothy simons, reese alexander, james yi",united states,r,"action & adventure, comedies",2014,1,9,2021,2
movie,the nutty professor,tom shadyac,"eddie murphy, jada pinkett smith, james coburn, larry miller, dave chappelle, john ales, patricia wilson, jamal mixon",united states,pg-13,"comedies, romantic movies",1996,1,9,2021,1
movie,welcome home roscoe jenkins,malcolm d. lee,"martin lawrence, james earl jones, joy bryant, margaret avery, mike epps, mo'nique, cedric the entertainer, nicole ari parker, michael clarke duncan, louis c.k.",united states,pg-13,comedies,2008,1,9,2021,1
movie,in the line of fire,wolfgang petersen,"clint eastwood, john malkovich, rene russo, dylan mcdermott, gary cole, fred thompson, john mahoney, gregory alan williams, jim curley, sally hughes",united states,r,"action & adventure, classic movies",1993,31,8,2021,4
movie,2 alone in paris,"ramzy bedia, éric judor","ramzy bedia, éric judor, benoît magimel, kristin scott thomas, élodie bouchez, édouard baer, fred testot, omar sy",france,tv-ma,"comedies, international movies",2008,28,8,2021,4
movie,thimmarusu,sharan koppisetty,"satya dev, priyanka jawalkar, brahmaji",india,tv-14,"dramas, international movies",2021,28,8,2021,4
movie,wind river,taylor sheridan,"jeremy renner, elizabeth olsen, jon bernthal, gil birmingham, kelsey asbille, tantoo cardinal, teo briones, matthew del negro, hugh dillon, julia jones, james jordan, eric lange, martin sensmeier, mason davis, graham greene","united kingdom, canada, united states",r,"dramas, independent movies",2017,28,8,2021,4
movie,c kkompany,sachin yardi,"mithun chakraborty, tusshar kapoor, anupam kher, rajpal yadav, raima sen, dilip prabhavalkar, sanjay mishra",india,tv-14,"action & adventure, comedies, international movies",2008,27,8,2021,4
movie,emi: liya hai to chukana padega,saurabh kabra,"sanjay dutt, arjun rampal, malaika arora, aashish chaudhary, neha uberoi, urmila matondkar, manoj joshi, daya shankar pandey, pushkar jog, kulbhushan kharbanda",india,tv-14,"comedies, dramas, international movies",2008,27,8,2021,4
